Random Max Range,Average Numbers Generated
1000,18.415000
2000,24.523000
3000,29.424000
4000,34.673000
5000,38.833000
6000,42.735000
7000,43.866000
8000,48.038000
9000,50.665000
10000,51.347000
11000,54.088000
12000,58.495000
13000,58.903000
14000,62.059000
15000,61.872000
16000,67.298000
17000,68.122000
18000,67.320000
19000,70.124000
20000,73.410000
21000,71.792000
22000,73.372000
23000,78.873000
24000,76.672000
25000,80.382000
26000,81.989000
27000,82.207000
28000,85.136000
29000,81.668000
30000,87.355000
31000,86.273000
32000,90.982000
33000,94.982000
34000,91.102000
35000,94.246000
36000,92.545000
37000,95.181000
38000,96.134000
39000,99.907000
40000,102.153000
41000,97.766000
42000,100.394000
43000,104.133000
44000,102.801000
45000,107.219000
46000,104.330000
47000,106.483000
48000,108.611000
49000,107.627000
50000,109.027000
51000,107.746000
52000,111.885000
53000,115.406000
54000,112.120000
55000,113.737000
56000,115.476000
57000,116.566000
58000,120.159000
59000,119.573000
60000,120.467000
61000,121.559000
62000,120.176000
63000,124.307000
64000,122.200000
65000,124.826000
66000,128.065000
67000,127.798000
68000,124.122000
69000,125.976000
70000,130.271000
71000,130.110000
72000,131.225000
73000,129.619000
74000,132.128000
75000,133.633000
76000,137.228000
77000,136.335000
78000,132.897000
79000,138.320000
80000,134.433000
81000,135.648000
82000,139.174000
83000,141.092000
84000,140.856000
85000,145.088000
86000,143.858000
87000,139.799000
88000,140.339000
89000,140.393000
90000,139.400000
91000,142.343000
92000,146.067000
93000,145.088000
94000,150.349000
95000,150.073000
96000,150.333000
97000,147.721000
98000,150.112000
99000,147.869000
100000,149.467000
101000,154.074000
102000,157.238000
103000,149.169000
104000,156.380000
105000,156.671000
106000,152.630000
107000,156.532000
108000,157.247000
109000,159.471000
110000,157.678000
111000,158.953000
112000,157.523000
113000,159.630000
114000,160.888000
115000,160.078000
116000,162.519000
117000,163.051000
118000,164.529000
119000,162.621000
120000,166.598000
121000,158.986000
122000,161.738000
123000,169.039000
124000,168.190000
125000,170.378000
126000,168.386000
127000,163.258000
128000,170.063000
129000,168.613000
130000,166.637000
131000,173.378000
132000,171.090000
133000,171.733000
134000,171.054000
135000,175.840000
136000,178.118000
137000,175.077000
138000,170.586000
139000,176.230000
140000,178.834000
141000,180.927000
142000,175.572000
143000,175.371000
144000,180.502000
145000,178.514000
146000,184.159000
147000,180.368000
148000,178.807000
149000,180.025000
150000,179.419000
151000,183.911000
152000,183.647000
153000,180.071000
154000,187.193000
155000,185.916000
156000,187.022000
157000,182.516000
158000,180.626000
159000,190.286000
160000,188.228000
161000,187.911000
162000,196.195000
163000,188.573000
164000,192.105000
165000,190.556000
166000,190.722000
167000,193.583000
168000,194.934000
169000,192.951000
170000,185.727000
171000,194.037000
172000,199.126000
173000,193.903000
174000,195.571000
175000,189.479000
176000,197.218000
177000,197.231000
178000,199.155000
179000,197.900000
180000,195.268000
181000,200.687000
182000,195.797000
183000,197.317000
184000,199.647000
185000,198.718000
186000,198.682000
187000,201.947000
188000,207.963000
189000,201.549000
190000,205.542000
191000,199.515000
192000,200.983000
193000,204.710000
194000,206.280000
195000,205.219000
196000,211.765000
197000,206.003000
198000,209.800000
199000,211.703000
200000,209.677000
201000,218.592000
202000,208.847000
203000,206.033000
204000,213.904000
205000,217.570000
206000,208.388000
207000,205.971000
208000,208.905000
209000,210.648000
210000,209.823000
211000,211.516000
212000,213.885000
213000,215.991000
214000,213.728000
215000,216.778000
216000,215.062000
217000,215.194000
218000,217.138000
219000,215.986000
220000,214.880000
221000,214.198000
222000,216.525000
223000,216.737000
224000,215.832000
225000,220.982000
226000,222.601000
227000,227.424000
228000,217.321000
229000,216.456000
230000,224.496000
231000,222.546000
232000,229.846000
233000,224.785000
234000,226.342000
235000,229.114000
236000,228.272000
237000,222.667000
238000,229.783000
239000,221.547000
240000,234.271000
241000,224.728000
242000,227.561000
243000,237.971000
244000,233.459000
245000,218.829000
246000,226.480000
247000,230.572000
248000,235.523000
249000,240.151000
250000,228.395000
251000,234.673000
252000,241.063000
253000,235.130000
254000,226.522000
255000,232.064000
256000,234.489000
257000,238.832000
258000,231.958000
259000,240.461000
260000,233.713000
261000,241.791000
262000,235.223000
263000,241.335000
264000,235.081000
265000,234.108000
266000,240.091000
267000,232.269000
268000,238.494000
269000,237.459000
270000,237.935000
271000,242.509000
272000,237.664000
273000,247.952000
274000,244.619000
275000,245.578000
276000,236.669000
277000,231.019000
278000,238.135000
279000,243.897000
280000,246.633000
281000,248.852000
282000,245.100000
283000,248.587000
284000,244.078000
285000,244.496000
286000,244.781000
287000,240.345000
288000,245.501000
289000,241.412000
290000,254.845000
291000,245.893000
292000,244.795000
293000,254.183000
294000,247.009000
295000,250.245000
296000,253.774000
297000,257.762000
298000,250.320000
299000,255.887000
300000,251.149000
301000,246.930000
302000,253.781000
303000,252.369000
304000,250.669000
305000,251.394000
306000,245.623000
307000,252.286000
308000,250.178000
309000,260.998000
310000,257.785000
311000,263.102000
312000,259.089000
313000,254.521000
314000,250.751000
315000,261.245000
316000,259.931000
317000,256.568000
318000,257.764000
319000,257.245000
320000,261.505000
321000,261.279000
322000,261.886000
323000,267.869000
324000,259.080000
325000,256.639000
326000,252.884000
327000,261.376000
328000,260.481000
329000,269.009000
330000,263.171000
331000,261.828000
332000,272.463000
333000,263.952000
334000,270.107000
335000,265.038000
336000,269.983000
337000,268.629000
338000,268.466000
339000,268.557000
340000,267.068000
341000,255.014000
342000,267.300000
343000,267.385000
344000,264.259000
345000,274.968000
346000,268.221000
347000,268.085000
348000,263.707000
349000,266.826000
350000,272.651000
351000,269.146000
352000,282.950000
353000,270.862000
354000,276.795000
355000,277.098000
356000,280.362000
357000,271.837000
358000,269.943000
359000,276.585000
360000,275.736000
361000,285.327000
362000,275.691000
363000,282.300000
364000,276.043000
365000,273.192000
366000,272.450000
367000,266.686000
368000,272.647000
369000,283.205000
370000,273.488000
371000,278.299000
372000,271.840000
373000,283.389000
374000,284.241000
375000,280.806000
376000,278.097000
377000,281.972000
378000,268.820000
379000,288.566000
380000,280.807000
381000,274.492000
382000,280.096000
383000,283.640000
384000,281.706000
385000,276.379000
386000,278.273000
387000,281.797000
388000,283.795000
389000,284.375000
390000,297.718000
391000,286.421000
392000,293.473000
393000,289.864000
394000,288.004000
395000,291.774000
396000,286.967000
397000,282.550000
398000,281.002000
399000,291.518000
400000,286.909000
401000,290.355000
402000,287.665000
403000,286.733000
404000,286.228000
405000,289.437000
406000,285.857000
407000,290.139000
408000,289.476000
409000,295.257000
410000,290.286000
411000,294.620000
412000,294.050000
413000,299.751000
414000,291.580000
415000,295.581000
416000,288.062000
417000,292.586000
418000,294.412000
419000,290.708000
420000,288.773000
421000,297.417000
422000,295.517000
423000,306.500000
424000,294.516000
425000,303.307000
426000,294.781000
427000,304.877000
428000,298.641000
429000,290.679000
430000,291.195000
431000,297.349000
432000,295.959000
433000,292.211000
434000,298.626000
435000,295.413000
436000,295.850000
437000,292.420000
438000,296.065000
439000,310.164000
440000,293.169000
441000,311.188000
442000,302.958000
443000,303.118000
444000,293.894000
445000,299.695000
446000,303.097000
447000,300.072000
448000,306.597000
449000,306.754000
450000,304.855000
451000,309.209000
452000,308.025000
453000,299.358000
454000,308.476000
455000,304.175000
456000,311.230000
457000,296.394000
458000,306.105000
459000,309.516000
460000,299.328000
461000,305.754000
462000,302.203000
463000,301.392000
464000,302.897000
465000,312.554000
466000,304.939000
467000,307.038000
468000,306.658000
469000,321.024000
470000,308.908000
471000,310.575000
472000,311.038000
473000,302.171000
474000,316.596000
475000,307.978000
476000,311.499000
477000,321.197000
478000,310.465000
479000,320.567000
480000,314.455000
481000,305.170000
482000,316.908000
483000,320.893000
484000,309.191000
485000,310.396000
486000,313.400000
487000,314.032000
488000,312.461000
489000,309.724000
490000,315.523000
491000,315.209000
492000,324.508000
493000,308.414000
494000,308.029000
495000,318.349000
496000,311.458000
497000,317.706000
498000,323.161000
499000,323.505000
500000,317.406000
501000,312.644000
502000,320.277000
503000,324.237000
504000,316.124000
505000,319.708000
506000,326.499000
507000,326.539000
508000,320.162000
509000,319.766000
510000,325.295000
511000,330.464000
512000,316.309000
513000,327.961000
514000,336.445000
515000,321.744000
516000,316.496000
517000,325.993000
518000,340.198000
519000,313.005000
520000,324.914000
521000,331.067000
522000,327.572000
523000,328.306000
524000,325.022000
525000,323.788000
526000,328.144000
527000,326.943000
528000,326.180000
529000,327.103000
530000,321.525000
531000,329.546000
532000,320.907000
533000,331.431000
534000,329.258000
535000,318.756000
536000,340.482000
537000,326.534000
538000,320.084000
539000,322.816000
540000,320.755000
541000,326.046000
542000,335.922000
543000,330.758000
544000,330.795000
545000,328.305000
546000,329.673000
547000,323.496000
548000,332.146000
549000,336.920000
550000,333.216000
551000,338.707000
552000,333.020000
553000,331.383000
554000,329.946000
555000,340.367000
556000,326.872000
557000,338.762000
558000,336.530000
559000,327.188000
560000,335.380000
561000,337.781000
562000,334.764000
563000,337.158000
564000,342.265000
565000,356.495000
566000,337.114000
567000,342.277000
568000,343.437000
569000,337.410000
570000,336.663000
571000,345.431000
572000,344.794000
573000,353.986000
574000,346.984000
575000,339.491000
576000,348.809000
577000,343.135000
578000,334.056000
579000,344.347000
580000,336.277000
581000,328.639000
582000,345.527000
583000,343.211000
584000,344.152000
585000,344.168000
586000,341.852000
587000,347.169000
588000,357.786000
589000,338.008000
590000,346.411000
591000,348.494000
592000,337.946000
593000,344.555000
594000,344.423000
595000,345.117000
596000,360.638000
597000,354.326000
598000,343.551000
599000,343.763000
600000,342.836000
601000,355.597000
602000,330.356000
603000,349.104000
604000,358.346000
605000,349.294000
606000,356.576000
607000,362.209000
608000,346.273000
609000,347.324000
610000,354.149000
611000,348.728000
612000,350.159000
613000,353.027000
614000,351.722000
615000,354.498000
616000,360.009000
617000,342.972000
618000,345.595000
619000,343.535000
620000,346.255000
621000,358.727000
622000,359.223000
623000,354.358000
624000,350.180000
625000,360.499000
626000,360.422000
627000,345.090000
628000,359.488000
629000,354.659000
630000,357.680000
631000,350.463000
632000,364.628000
633000,371.099000
634000,374.321000
635000,358.913000
636000,358.025000
637000,356.814000
638000,361.002000
639000,353.078000
640000,359.290000
641000,372.899000
642000,356.896000
643000,358.677000
644000,366.944000
645000,364.062000
646000,352.791000
647000,361.028000
648000,359.282000
649000,362.310000
650000,370.033000
651000,357.579000
652000,354.987000
653000,354.433000
654000,352.282000
655000,364.253000
656000,371.433000
657000,361.728000
658000,368.075000
659000,361.920000
660000,359.606000
661000,362.136000
662000,369.259000
663000,350.440000
664000,361.505000
665000,360.076000
666000,363.352000
667000,373.838000
668000,375.141000
669000,363.515000
670000,373.540000
671000,374.712000
672000,374.891000
673000,367.139000
674000,360.132000
675000,366.088000
676000,366.080000
677000,372.706000
678000,353.419000
679000,379.913000
680000,363.434000
681000,360.842000
682000,363.452000
683000,367.425000
684000,376.120000
685000,370.603000
686000,381.382000
687000,364.224000
688000,369.410000
689000,379.914000
690000,361.616000
691000,364.182000
692000,372.129000
693000,367.182000
694000,378.511000
695000,386.024000
696000,375.584000
697000,372.006000
698000,361.066000
699000,370.863000
700000,378.589000
701000,379.738000
702000,358.790000
703000,375.530000
704000,369.224000
705000,363.109000
706000,371.863000
707000,381.059000
708000,376.974000
709000,383.198000
710000,376.086000
711000,363.620000
712000,371.463000
713000,379.199000
714000,372.067000
715000,385.866000
716000,373.219000
717000,370.802000
718000,377.915000
719000,373.242000
720000,377.987000
721000,392.824000
722000,383.354000
723000,382.870000
724000,381.718000
725000,370.363000
726000,378.012000
727000,368.454000
728000,375.435000
729000,385.617000
730000,371.696000
731000,378.204000
732000,388.068000
733000,383.294000
734000,374.257000
735000,369.474000
736000,382.395000
737000,383.133000
738000,379.146000
739000,381.497000
740000,384.256000
741000,380.241000
742000,383.448000
743000,392.004000
744000,387.745000
745000,392.909000
746000,386.797000
747000,379.939000
748000,385.098000
749000,388.264000
750000,388.453000
751000,378.248000
752000,376.475000
753000,397.335000
754000,394.790000
755000,383.312000
756000,388.858000
757000,392.891000
758000,381.148000
759000,398.900000
760000,377.043000
761000,387.397000
762000,391.572000
763000,380.705000
764000,396.027000
765000,387.056000
766000,398.158000
767000,390.107000
768000,391.601000
769000,384.809000
770000,384.711000
771000,393.291000
772000,391.392000
773000,400.334000
774000,376.182000
775000,405.179000
776000,391.912000
777000,390.931000
778000,377.556000
779000,390.306000
780000,399.560000
781000,388.079000
782000,377.078000
783000,399.362000
784000,402.419000
785000,395.201000
786000,405.799000
787000,396.526000
788000,392.051000
789000,399.319000
790000,392.694000
791000,390.098000
792000,403.408000
793000,394.376000
794000,388.866000
795000,390.029000
796000,397.430000
797000,408.292000
798000,397.381000
799000,387.742000
800000,404.753000
801000,408.012000
802000,404.085000
803000,416.306000
804000,400.219000
805000,396.670000
806000,391.918000
807000,394.351000
808000,402.629000
809000,400.923000
810000,402.424000
811000,394.604000
812000,396.211000
813000,399.995000
814000,405.704000
815000,413.626000
816000,399.939000
817000,393.137000
818000,386.662000
819000,397.555000
820000,387.732000
821000,402.020000
822000,408.163000
823000,396.780000
824000,396.336000
825000,413.792000
826000,402.365000
827000,412.878000
828000,402.725000
829000,411.090000
830000,409.615000
831000,404.819000
832000,401.205000
833000,402.552000
834000,395.936000
835000,401.074000
836000,409.486000
837000,399.462000
838000,406.530000
839000,413.513000
840000,415.166000
841000,404.207000
842000,408.216000
843000,403.985000
844000,409.849000
845000,409.913000
846000,416.023000
847000,396.839000
848000,410.826000
849000,405.153000
850000,412.357000
851000,403.106000
852000,404.607000
853000,414.530000
854000,421.045000
855000,401.863000
856000,410.850000
857000,421.140000
858000,420.798000
859000,420.965000
860000,415.622000
861000,418.538000
862000,411.927000
863000,410.291000
864000,429.345000
865000,414.926000
866000,416.643000
867000,420.622000
868000,411.610000
869000,391.866000
870000,406.713000
871000,410.511000
872000,425.556000
873000,412.766000
874000,418.039000
875000,412.270000
876000,418.754000
877000,411.569000
878000,420.741000
879000,409.708000
880000,413.086000
881000,412.239000
882000,412.045000
883000,419.983000
884000,401.913000
885000,417.022000
886000,407.602000
887000,415.733000
888000,417.890000
889000,405.510000
890000,413.274000
891000,423.287000
892000,413.958000
893000,424.961000
894000,415.649000
895000,414.992000
896000,418.082000
897000,415.411000
898000,416.676000
899000,415.600000
900000,425.596000
901000,431.363000
902000,419.187000
903000,416.165000
904000,422.010000
905000,436.979000
906000,417.999000
907000,427.211000
908000,402.300000
909000,414.747000
910000,422.014000
911000,414.920000
912000,425.714000
913000,424.980000
914000,413.053000
915000,406.368000
916000,413.117000
917000,413.088000
918000,432.913000
919000,428.244000
920000,424.526000
921000,422.513000
922000,432.013000
923000,426.272000
924000,422.468000
925000,424.239000
926000,421.733000
927000,426.555000
928000,419.911000
929000,435.192000
930000,423.547000
931000,420.726000
932000,418.894000
933000,433.715000
934000,420.279000
935000,421.547000
936000,411.336000
937000,414.276000
938000,427.535000
939000,436.347000
940000,425.239000
941000,439.966000
942000,434.045000
943000,432.218000
944000,432.979000
945000,424.853000
946000,421.751000
947000,425.993000
948000,426.630000
949000,426.437000
950000,434.447000
951000,448.020000
952000,436.904000
953000,432.132000
954000,418.589000
955000,439.132000
956000,437.916000
957000,429.585000
958000,433.629000
959000,427.006000
960000,426.952000
961000,427.720000
962000,425.963000
963000,435.822000
964000,437.913000
965000,428.342000
966000,420.552000
967000,442.210000
968000,437.298000
969000,431.052000
970000,429.660000
971000,431.110000
972000,446.492000
973000,430.633000
974000,445.076000
975000,434.827000
976000,426.406000
977000,426.002000
978000,438.544000
979000,445.505000
980000,424.386000
981000,441.863000
982000,437.513000
983000,442.828000
984000,436.007000
985000,443.514000
986000,438.490000
987000,441.528000
988000,439.433000
989000,453.389000
990000,442.467000
991000,438.977000
992000,450.602000
993000,441.606000
994000,435.195000
995000,442.768000
996000,430.239000
997000,438.522000
998000,441.580000
999000,452.426000
1000000,448.739000
1001000,449.928000
1002000,454.145000
1003000,435.597000
1004000,462.742000
1005000,433.505000
1006000,446.412000
1007000,438.011000
1008000,445.484000
1009000,447.113000
1010000,437.024000
1011000,438.724000
1012000,435.948000
1013000,432.233000
1014000,436.636000
1015000,462.510000
1016000,439.466000
1017000,446.290000
1018000,429.060000
1019000,447.129000
1020000,436.007000
1021000,443.997000
1022000,453.201000
1023000,440.434000
1024000,450.178000
1025000,446.767000
1026000,442.189000
1027000,450.326000
1028000,452.713000
1029000,449.375000
1030000,431.507000
1031000,452.227000
1032000,446.418000
1033000,449.966000
1034000,456.743000
1035000,441.529000
1036000,445.058000
1037000,439.866000
1038000,436.531000
1039000,438.608000
1040000,463.692000
1041000,439.305000
1042000,445.972000
1043000,450.863000
1044000,451.230000
1045000,460.654000
1046000,445.468000
1047000,448.353000
1048000,446.187000
1049000,451.028000
1050000,455.873000
1051000,451.459000
1052000,458.347000
1053000,448.005000
1054000,444.494000
1055000,458.248000
1056000,444.688000
1057000,454.660000
1058000,465.027000
1059000,447.030000
1060000,440.648000
1061000,455.603000
1062000,465.563000
1063000,460.005000
1064000,453.714000
1065000,458.149000
1066000,456.105000
1067000,463.208000
1068000,457.550000
1069000,447.895000
1070000,462.952000
1071000,463.958000
1072000,443.555000
1073000,450.826000
1074000,451.438000
1075000,451.096000
1076000,451.697000
1077000,453.277000
1078000,452.817000
1079000,465.371000
1080000,449.556000
1081000,444.353000
1082000,450.596000
1083000,458.051000
1084000,465.478000
1085000,459.229000
1086000,447.365000
1087000,450.762000
1088000,458.381000
1089000,462.915000
1090000,461.479000
1091000,466.425000
1092000,466.221000
1093000,456.233000
1094000,462.055000
1095000,453.918000
1096000,466.875000
1097000,469.673000
1098000,464.478000
1099000,468.101000
1100000,466.743000
1101000,466.741000
1102000,464.374000
1103000,463.613000
1104000,457.564000
1105000,468.021000
1106000,462.421000
1107000,463.553000
1108000,444.360000
1109000,460.652000
1110000,463.424000
1111000,473.061000
1112000,458.021000
1113000,449.718000
1114000,474.694000
1115000,470.623000
1116000,469.022000
1117000,457.931000
1118000,454.389000
1119000,457.249000
1120000,466.913000
1121000,453.768000
1122000,464.704000
1123000,455.389000
1124000,482.792000
1125000,463.552000
1126000,473.442000
1127000,478.503000
1128000,469.577000
1129000,454.907000
1130000,465.649000
1131000,457.530000
1132000,461.745000
1133000,467.172000
1134000,466.232000
1135000,480.553000
1136000,469.655000
1137000,464.928000
1138000,449.817000
1139000,453.760000
1140000,476.936000
1141000,467.518000
1142000,468.473000
1143000,473.660000
1144000,464.281000
1145000,466.285000
1146000,474.446000
1147000,468.226000
1148000,468.742000
1149000,458.018000
1150000,467.825000
1151000,461.836000
1152000,464.350000
1153000,467.014000
1154000,450.541000
1155000,478.727000
1156000,469.296000
1157000,471.019000
1158000,483.179000
1159000,475.616000
1160000,471.786000
1161000,474.324000
1162000,470.888000
1163000,467.278000
1164000,464.591000
1165000,481.122000
1166000,486.442000
1167000,479.606000
1168000,484.691000
1169000,479.185000
1170000,487.277000
1171000,477.339000
1172000,487.573000
1173000,491.008000
1174000,481.492000
1175000,480.840000
1176000,469.820000
1177000,473.476000
1178000,466.444000
1179000,478.908000
1180000,484.231000
1181000,482.981000
1182000,476.387000
1183000,480.499000
1184000,481.124000
1185000,466.352000
1186000,480.488000
1187000,488.572000
1188000,496.601000
1189000,487.397000
1190000,464.387000
1191000,466.479000
1192000,482.818000
1193000,472.874000
1194000,468.135000
1195000,473.898000
1196000,489.836000
1197000,472.770000
1198000,465.000000
1199000,489.061000
1200000,482.797000
1201000,473.960000
1202000,495.253000
1203000,465.775000
1204000,493.797000
1205000,477.518000
1206000,469.211000
1207000,482.583000
1208000,476.340000
1209000,491.285000
1210000,467.418000
1211000,460.224000
1212000,489.895000
1213000,485.670000
1214000,505.983000
1215000,478.406000
1216000,484.462000
1217000,471.610000
1218000,477.364000
1219000,484.156000
1220000,490.960000
1221000,473.815000
1222000,477.992000
1223000,487.066000
1224000,484.372000
1225000,490.606000
1226000,477.792000
1227000,479.105000
1228000,482.915000
1229000,491.342000
1230000,481.466000
1231000,484.628000
1232000,484.738000
1233000,489.798000
1234000,496.927000
1235000,497.311000
1236000,486.172000
1237000,491.328000
1238000,495.468000
1239000,488.786000
1240000,489.583000
1241000,481.221000
1242000,475.477000
1243000,485.585000
1244000,496.742000
1245000,488.659000
1246000,484.472000
1247000,484.527000
1248000,485.401000
1249000,492.281000
1250000,476.760000
1251000,491.665000
1252000,486.498000
1253000,499.772000
1254000,489.133000
1255000,500.295000
1256000,497.498000
1257000,485.581000
1258000,478.233000
1259000,484.114000
1260000,491.075000
1261000,484.960000
1262000,484.350000
1263000,491.330000
1264000,510.436000
1265000,485.716000
1266000,499.074000
1267000,497.957000
1268000,491.790000
1269000,498.349000
1270000,491.525000
1271000,491.397000
1272000,494.780000
1273000,504.196000
1274000,483.646000
1275000,493.907000
1276000,488.903000
1277000,518.838000
1278000,484.464000
1279000,487.750000
1280000,493.405000
1281000,492.931000
1282000,494.205000
1283000,493.923000
1284000,497.600000
1285000,495.061000
1286000,517.807000
1287000,487.864000
1288000,498.384000
1289000,500.346000
1290000,499.256000
1291000,489.126000
1292000,514.460000
1293000,492.492000
1294000,487.898000
1295000,510.120000
1296000,526.293000
1297000,491.249000
1298000,490.922000
1299000,500.869000
1300000,498.617000
1301000,517.421000
1302000,509.005000
1303000,500.800000
1304000,497.607000
1305000,492.686000
1306000,510.770000
1307000,499.651000
1308000,515.867000
1309000,492.501000
1310000,493.229000
1311000,487.045000
1312000,506.529000
1313000,506.076000
1314000,489.599000
1315000,505.815000
1316000,502.642000
1317000,496.776000
1318000,490.927000
1319000,512.333000
1320000,497.761000
1321000,499.145000
1322000,496.749000
1323000,501.937000
1324000,489.276000
1325000,502.563000
1326000,505.087000
1327000,502.969000
1328000,506.210000
1329000,493.148000
1330000,492.779000
1331000,487.207000
1332000,490.142000
1333000,517.735000
1334000,498.318000
1335000,499.979000
1336000,505.857000
1337000,510.578000
1338000,506.001000
1339000,511.613000
1340000,496.790000
1341000,509.829000
1342000,506.625000
1343000,502.097000
1344000,496.760000
1345000,510.803000
1346000,510.984000
1347000,499.590000
1348000,501.206000
1349000,495.604000
1350000,508.259000
1351000,519.826000
1352000,501.175000
1353000,506.135000
1354000,510.529000
1355000,512.443000
1356000,505.738000
1357000,497.571000
1358000,523.758000
1359000,510.974000
1360000,501.709000
1361000,523.088000
1362000,512.513000
1363000,512.118000
1364000,512.958000
1365000,500.979000
1366000,527.583000
1367000,515.742000
1368000,495.609000
1369000,493.612000
1370000,506.761000
1371000,504.475000
1372000,508.022000
1373000,500.351000
1374000,505.780000
1375000,514.452000
1376000,505.673000
1377000,511.715000
1378000,506.323000
1379000,518.616000
1380000,503.590000
1381000,521.025000
1382000,503.473000
1383000,500.190000
1384000,502.921000
1385000,504.482000
1386000,516.015000
1387000,508.857000
1388000,495.532000
1389000,509.301000
1390000,517.239000
1391000,515.266000
1392000,511.096000
1393000,509.827000
1394000,516.372000
1395000,518.455000
1396000,523.832000
1397000,509.876000
1398000,508.257000
1399000,495.805000
1400000,525.858000
1401000,523.746000
1402000,515.386000
1403000,529.617000
1404000,518.993000
1405000,527.784000
1406000,527.661000
1407000,498.202000
1408000,507.174000
1409000,514.079000
1410000,517.024000
1411000,522.877000
1412000,512.487000
1413000,527.798000
1414000,505.133000
1415000,521.077000
1416000,515.294000
1417000,513.034000
1418000,511.553000
1419000,528.782000
1420000,523.153000
1421000,529.947000
1422000,514.030000
1423000,527.834000
1424000,523.014000
1425000,537.880000
1426000,529.830000
1427000,516.443000
1428000,524.627000
1429000,522.482000
1430000,503.095000
1431000,527.366000
1432000,516.346000
1433000,508.610000
1434000,521.871000
1435000,522.125000
1436000,535.159000
1437000,534.717000
1438000,535.044000
1439000,524.199000
1440000,523.942000
1441000,514.769000
1442000,526.510000
1443000,499.652000
1444000,525.663000
1445000,528.493000
1446000,509.201000
1447000,528.943000
1448000,523.368000
1449000,519.783000
1450000,527.086000
1451000,506.191000
1452000,550.225000
1453000,533.186000
1454000,527.931000
1455000,514.701000
1456000,516.796000
1457000,530.122000
1458000,534.509000
1459000,512.190000
1460000,517.490000
1461000,524.924000
1462000,536.450000
1463000,525.702000
1464000,525.078000
1465000,533.914000
1466000,516.540000
1467000,529.192000
1468000,526.474000
1469000,516.893000
1470000,530.383000
1471000,520.124000
1472000,533.671000
1473000,534.123000
1474000,531.277000
1475000,531.767000
1476000,517.582000
1477000,511.104000
1478000,532.212000
1479000,533.167000
1480000,526.908000
1481000,515.778000
1482000,533.627000
1483000,517.390000
1484000,518.076000
1485000,525.714000
1486000,548.433000
1487000,514.038000
1488000,522.415000
1489000,525.208000
1490000,535.545000
1491000,535.334000
1492000,518.990000
1493000,546.466000
1494000,542.915000
1495000,538.260000
1496000,511.800000
1497000,523.762000
1498000,546.111000
1499000,533.415000
1500000,537.347000
1501000,534.094000
1502000,529.360000
1503000,531.179000
1504000,538.676000
1505000,518.556000
1506000,542.657000
1507000,531.205000
1508000,535.210000
1509000,534.440000
1510000,540.912000
1511000,542.016000
1512000,540.657000
1513000,535.455000
1514000,540.378000
1515000,533.232000
1516000,533.644000
1517000,536.946000
1518000,535.957000
1519000,542.068000
1520000,529.344000
1521000,533.224000
1522000,555.352000
1523000,530.593000
1524000,541.643000
1525000,539.768000
1526000,530.603000
1527000,534.205000
1528000,544.860000
1529000,533.693000
1530000,515.519000
1531000,538.791000
1532000,554.085000
1533000,536.579000
1534000,535.745000
1535000,547.155000
1536000,547.454000
1537000,539.556000
