N,g(N)
1000.000000,0.582333
2000.000000,0.548351
3000.000000,0.537206
4000.000000,0.548228
5000.000000,0.549182
6000.000000,0.551706
7000.000000,0.524299
8000.000000,0.537081
9000.000000,0.534056
10000.000000,0.513470
11000.000000,0.515709
12000.000000,0.533984
13000.000000,0.516613
14000.000000,0.524494
15000.000000,0.505183
16000.000000,0.532037
17000.000000,0.522472
18000.000000,0.501774
19000.000000,0.508733
20000.000000,0.519087
21000.000000,0.495412
22000.000000,0.494674
23000.000000,0.520073
24000.000000,0.494916
25000.000000,0.508380
26000.000000,0.508474
27000.000000,0.500296
28000.000000,0.508785
29000.000000,0.479571
30000.000000,0.504344
31000.000000,0.489998
32000.000000,0.508605
33000.000000,0.522859
34000.000000,0.494070
35000.000000,0.503766
36000.000000,0.487755
37000.000000,0.494822
38000.000000,0.493157
39000.000000,0.505899
40000.000000,0.510765
41000.000000,0.482832
42000.000000,0.489873
43000.000000,0.502174
44000.000000,0.490085
45000.000000,0.505435
46000.000000,0.486441
47000.000000,0.491169
48000.000000,0.495739
49000.000000,0.486209
50000.000000,0.487584
51000.000000,0.477107
52000.000000,0.490648
53000.000000,0.501292
54000.000000,0.482488
55000.000000,0.484976
56000.000000,0.487975
57000.000000,0.488241
58000.000000,0.498933
59000.000000,0.492274
60000.000000,0.491804
61000.000000,0.492178
62000.000000,0.482638
63000.000000,0.495251
64000.000000,0.483038
65000.000000,0.489608
66000.000000,0.498492
67000.000000,0.493727
68000.000000,0.475986
69000.000000,0.479582
70000.000000,0.492378
71000.000000,0.488294
72000.000000,0.489047
73000.000000,0.479741
74000.000000,0.485712
75000.000000,0.487959
76000.000000,0.497778
77000.000000,0.491317
78000.000000,0.475848
79000.000000,0.492120
80000.000000,0.475292
81000.000000,0.476618
82000.000000,0.486017
83000.000000,0.489737
84000.000000,0.485999
85000.000000,0.497648
86000.000000,0.490552
87000.000000,0.473963
88000.000000,0.473083
89000.000000,0.470598
90000.000000,0.464667
91000.000000,0.471862
92000.000000,0.481569
93000.000000,0.475762
94000.000000,0.490384
95000.000000,0.486901
96000.000000,0.485198
97000.000000,0.474304
98000.000000,0.479515
99000.000000,0.469959
100000.000000,0.472656
101000.000000,0.484807
102000.000000,0.492331
103000.000000,0.464793
104000.000000,0.484914
105000.000000,0.483497
106000.000000,0.468799
107000.000000,0.478532
108000.000000,0.478487
109000.000000,0.483024
110000.000000,0.475417
111000.000000,0.477098
112000.000000,0.470690
113000.000000,0.474871
114000.000000,0.476509
115000.000000,0.472044
116000.000000,0.477172
117000.000000,0.476684
118000.000000,0.478962
119000.000000,0.471415
120000.000000,0.480927
121000.000000,0.457053
122000.000000,0.463055
123000.000000,0.481986
124000.000000,0.477628
125000.000000,0.481902
126000.000000,0.474374
127000.000000,0.458113
128000.000000,0.475341
129000.000000,0.469457
130000.000000,0.462168
131000.000000,0.479025
132000.000000,0.470910
133000.000000,0.470899
134000.000000,0.467284
135000.000000,0.478576
136000.000000,0.482990
137000.000000,0.473008
138000.000000,0.459202
139000.000000,0.472686
140000.000000,0.477954
141000.000000,0.481830
142000.000000,0.465920
143000.000000,0.463756
144000.000000,0.475665
145000.000000,0.468801
146000.000000,0.481966
147000.000000,0.470436
148000.000000,0.464787
149000.000000,0.466380
150000.000000,0.463258
151000.000000,0.473281
152000.000000,0.471045
153000.000000,0.460361
154000.000000,0.477012
155000.000000,0.472227
156000.000000,0.473511
157000.000000,0.460629
158000.000000,0.454414
159000.000000,0.477209
160000.000000,0.470570
161000.000000,0.468316
162000.000000,0.487450
163000.000000,0.467074
164000.000000,0.474369
165000.000000,0.469116
166000.000000,0.468109
167000.000000,0.473706
168000.000000,0.475590
169000.000000,0.469357
170000.000000,0.450454
171000.000000,0.469231
172000.000000,0.480135
173000.000000,0.466188
174000.000000,0.468846
175000.000000,0.452941
176000.000000,0.470100
177000.000000,0.468801
178000.000000,0.472043
179000.000000,0.467756
180000.000000,0.460251
181000.000000,0.471715
182000.000000,0.458955
183000.000000,0.461253
184000.000000,0.465429
185000.000000,0.462010
186000.000000,0.460683
187000.000000,0.467000
188000.000000,0.479631
189000.000000,0.463607
190000.000000,0.471546
191000.000000,0.456519
192000.000000,0.458679
193000.000000,0.465973
194000.000000,0.468335
195000.000000,0.464730
196000.000000,0.478328
197000.000000,0.464131
198000.000000,0.471490
199000.000000,0.474570
200000.000000,0.468852
201000.000000,0.487569
202000.000000,0.464678
203000.000000,0.457287
204000.000000,0.473591
205000.000000,0.480532
206000.000000,0.459134
207000.000000,0.452711
208000.000000,0.458055
209000.000000,0.460770
210000.000000,0.457871
211000.000000,0.460471
212000.000000,0.464529
213000.000000,0.468000
214000.000000,0.462013
215000.000000,0.467515
216000.000000,0.462740
217000.000000,0.461956
218000.000000,0.465059
219000.000000,0.461534
220000.000000,0.458126
221000.000000,0.455637
222000.000000,0.459549
223000.000000,0.458966
224000.000000,0.456028
225000.000000,0.465871
226000.000000,0.468245
227000.000000,0.477335
228000.000000,0.455129
229000.000000,0.452326
230000.000000,0.468107
231000.000000,0.463035
232000.000000,0.477192
233000.000000,0.465682
234000.000000,0.467904
235000.000000,0.472626
236000.000000,0.469890
237000.000000,0.457385
238000.000000,0.471009
239000.000000,0.453176
240000.000000,0.478204
241000.000000,0.457771
242000.000000,0.462584
243000.000000,0.482748
244000.000000,0.472624
245000.000000,0.442101
246000.000000,0.456628
247000.000000,0.463936
248000.000000,0.472942
249000.000000,0.481265
250000.000000,0.456790
251000.000000,0.468410
252000.000000,0.480209
253000.000000,0.467464
254000.000000,0.449463
255000.000000,0.459555
256000.000000,0.463450
257000.000000,0.471114
258000.000000,0.456667
259000.000000,0.472492
260000.000000,0.458349
261000.000000,0.473282
262000.000000,0.459546
263000.000000,0.470590
264000.000000,0.457526
265000.000000,0.454772
266000.000000,0.465516
267000.000000,0.449506
268000.000000,0.460691
269000.000000,0.457839
270000.000000,0.457906
271000.000000,0.465847
272000.000000,0.455700
273000.000000,0.474555
274000.000000,0.467321
275000.000000,0.468299
276000.000000,0.450492
277000.000000,0.438943
278000.000000,0.451649
279000.000000,0.461747
280000.000000,0.466093
281000.000000,0.469449
282000.000000,0.461550
283000.000000,0.467289
284000.000000,0.458004
285000.000000,0.457983
286000.000000,0.457715
287000.000000,0.448636
288000.000000,0.457464
289000.000000,0.449066
290000.000000,0.473235
291000.000000,0.455827
292000.000000,0.453013
293000.000000,0.469583
294000.000000,0.455553
295000.000000,0.460738
296000.000000,0.466446
297000.000000,0.472978
298000.000000,0.458551
299000.000000,0.467964
300000.000000,0.458533
301000.000000,0.450081
302000.000000,0.461802
303000.000000,0.458474
304000.000000,0.454636
305000.000000,0.455203
306000.000000,0.444026
307000.000000,0.455328
308000.000000,0.450789
309000.000000,0.469524
310000.000000,0.462996
311000.000000,0.471785
312000.000000,0.463844
313000.000000,0.454937
314000.000000,0.447484
315000.000000,0.465471
316000.000000,0.462396
317000.000000,0.455694
318000.000000,0.457097
319000.000000,0.455461
320000.000000,0.462280
321000.000000,0.461160
322000.000000,0.461513
323000.000000,0.471326
324000.000000,0.455157
325000.000000,0.450175
326000.000000,0.442907
327000.000000,0.457080
328000.000000,0.454820
329000.000000,0.468996
330000.000000,0.458122
331000.000000,0.455095
332000.000000,0.472866
333000.000000,0.457407
334000.000000,0.467372
335000.000000,0.457916
336000.000000,0.465765
337000.000000,0.462741
338000.000000,0.461776
339000.000000,0.461250
340000.000000,0.458018
341000.000000,0.436704
342000.000000,0.457073
343000.000000,0.456552
344000.000000,0.450558
345000.000000,0.468137
346000.000000,0.455989
347000.000000,0.455101
348000.000000,0.447025
349000.000000,0.451664
350000.000000,0.460864
351000.000000,0.454291
352000.000000,0.476912
353000.000000,0.455891
354000.000000,0.465218
355000.000000,0.465071
356000.000000,0.469888
357000.000000,0.454961
358000.000000,0.451160
359000.000000,0.461617
360000.000000,0.459560
361000.000000,0.474886
362000.000000,0.458214
363000.000000,0.468552
364000.000000,0.457537
365000.000000,0.452191
366000.000000,0.450346
367000.000000,0.440217
368000.000000,0.449445
369000.000000,0.466217
370000.000000,0.449612
371000.000000,0.456904
372000.000000,0.445699
373000.000000,0.464011
374000.000000,0.464784
375000.000000,0.458554
376000.000000,0.453526
377000.000000,0.459235
378000.000000,0.437236
379000.000000,0.468733
380000.000000,0.455529
381000.000000,0.444700
382000.000000,0.453185
383000.000000,0.458319
384000.000000,0.454601
385000.000000,0.445425
386000.000000,0.447896
387000.000000,0.452982
388000.000000,0.455605
389000.000000,0.455949
390000.000000,0.476730
391000.000000,0.458054
392000.000000,0.468733
393000.000000,0.462379
394000.000000,0.458829
395000.000000,0.464246
396000.000000,0.456020
397000.000000,0.448436
398000.000000,0.445418
399000.000000,0.461508
400000.000000,0.453643
401000.000000,0.458519
402000.000000,0.453705
403000.000000,0.451674
404000.000000,0.450320
405000.000000,0.454806
406000.000000,0.448627
407000.000000,0.454788
408000.000000,0.453192
409000.000000,0.461677
410000.000000,0.453351
411000.000000,0.459559
412000.000000,0.458113
413000.000000,0.466429
414000.000000,0.453166
415000.000000,0.458831
416000.000000,0.446621
417000.000000,0.453091
418000.000000,0.455373
419000.000000,0.449107
420000.000000,0.445586
421000.000000,0.458379
422000.000000,0.454911
423000.000000,0.471260
424000.000000,0.452299
425000.000000,0.465252
426000.000000,0.451642
427000.000000,0.466563
428000.000000,0.456486
429000.000000,0.443798
430000.000000,0.444068
431000.000000,0.452927
432000.000000,0.450287
433000.000000,0.444071
434000.000000,0.453297
435000.000000,0.447904
436000.000000,0.448052
437000.000000,0.442350
438000.000000,0.447353
439000.000000,0.468122
440000.000000,0.441969
441000.000000,0.468601
442000.000000,0.455692
443000.000000,0.455418
444000.000000,0.441062
445000.000000,0.449262
446000.000000,0.453852
447000.000000,0.448819
448000.000000,0.458067
449000.000000,0.457791
450000.000000,0.454451
451000.000000,0.460430
452000.000000,0.458160
453000.000000,0.444776
454000.000000,0.457819
455000.000000,0.450939
456000.000000,0.460892
457000.000000,0.438441
458000.000000,0.452312
459000.000000,0.456853
460000.000000,0.441335
461000.000000,0.450320
462000.000000,0.444609
463000.000000,0.442936
464000.000000,0.444668
465000.000000,0.458351
466000.000000,0.446704
467000.000000,0.449297
468000.000000,0.448261
469000.000000,0.468761
470000.000000,0.450589
471000.000000,0.452539
472000.000000,0.452733
473000.000000,0.439362
474000.000000,0.459850
475000.000000,0.446861
476000.000000,0.451495
477000.000000,0.465064
478000.000000,0.449054
479000.000000,0.463181
480000.000000,0.453877
481000.000000,0.440017
482000.000000,0.456467
483000.000000,0.461728
484000.000000,0.444431
485000.000000,0.445703
486000.000000,0.449553
487000.000000,0.449997
488000.000000,0.447287
489000.000000,0.442915
490000.000000,0.450747
491000.000000,0.449840
492000.000000,0.462640
493000.000000,0.439249
494000.000000,0.438256
495000.000000,0.452482
496000.000000,0.442241
497000.000000,0.450658
498000.000000,0.457935
499000.000000,0.457963
500000.000000,0.448880
501000.000000,0.441704
502000.000000,0.452037
503000.000000,0.457171
504000.000000,0.445289
505000.000000,0.449892
506000.000000,0.458994
507000.000000,0.458597
508000.000000,0.449198
509000.000000,0.448202
510000.000000,0.455504
511000.000000,0.462289
512000.000000,0.442055
513000.000000,0.457892
514000.000000,0.469281
515000.000000,0.448339
516000.000000,0.440599
517000.000000,0.453381
518000.000000,0.472680
519000.000000,0.434478
520000.000000,0.450575
521000.000000,0.458667
522000.000000,0.453390
523000.000000,0.453971
524000.000000,0.449001
525000.000000,0.446870
526000.000000,0.452451
527000.000000,0.450367
528000.000000,0.448890
529000.000000,0.449735
530000.000000,0.441649
531000.000000,0.452240
532000.000000,0.439970
533000.000000,0.453972
534000.000000,0.450574
535000.000000,0.435794
536000.000000,0.465063
537000.000000,0.445596
538000.000000,0.436388
539000.000000,0.439704
540000.000000,0.436492
541000.000000,0.443282
542000.000000,0.456288
543000.000000,0.448860
544000.000000,0.448497
545000.000000,0.444712
546000.000000,0.446156
547000.000000,0.437396
548000.000000,0.448682
549000.000000,0.454716
550000.000000,0.449308
551000.000000,0.456298
552000.000000,0.448230
553000.000000,0.445623
554000.000000,0.443290
555000.000000,0.456879
556000.000000,0.438369
557000.000000,0.453907
558000.000000,0.450512
559000.000000,0.437614
560000.000000,0.448170
561000.000000,0.450976
562000.000000,0.446551
563000.000000,0.449344
564000.000000,0.455746
565000.000000,0.474274
566000.000000,0.448093
567000.000000,0.454555
568000.000000,0.455694
569000.000000,0.447303
570000.000000,0.445921
571000.000000,0.457134
572000.000000,0.455892
573000.000000,0.467637
574000.000000,0.457987
575000.000000,0.447707
576000.000000,0.459596
577000.000000,0.451728
578000.000000,0.439395
579000.000000,0.452540
580000.000000,0.441553
581000.000000,0.431153
582000.000000,0.452919
583000.000000,0.449497
584000.000000,0.450343
585000.000000,0.449979
586000.000000,0.446570
587000.000000,0.453129
588000.000000,0.466589
589000.000000,0.440422
590000.000000,0.450989
591000.000000,0.453317
592000.000000,0.439224
593000.000000,0.447436
594000.000000,0.446888
595000.000000,0.447412
596000.000000,0.467141
597000.000000,0.458581
598000.000000,0.444263
599000.000000,0.444166
600000.000000,0.442599
601000.000000,0.458692
602000.000000,0.425779
603000.000000,0.449569
604000.000000,0.461088
605000.000000,0.449069
606000.000000,0.458053
607000.000000,0.464906
608000.000000,0.444086
609000.000000,0.445068
610000.000000,0.453441
611000.000000,0.446135
612000.000000,0.447599
613000.000000,0.450897
614000.000000,0.448865
615000.000000,0.452039
616000.000000,0.458694
617000.000000,0.436633
618000.000000,0.439616
619000.000000,0.436642
620000.000000,0.439744
621000.000000,0.455217
622000.000000,0.455480
623000.000000,0.448950
624000.000000,0.443301
625000.000000,0.455999
626000.000000,0.455537
627000.000000,0.435811
628000.000000,0.453633
629000.000000,0.447183
630000.000000,0.450634
631000.000000,0.441192
632000.000000,0.458661
633000.000000,0.466432
634000.000000,0.470110
635000.000000,0.450404
636000.000000,0.448936
637000.000000,0.447067
638000.000000,0.451959
639000.000000,0.441693
640000.000000,0.449113
641000.000000,0.465760
642000.000000,0.445425
643000.000000,0.447299
644000.000000,0.457253
645000.000000,0.453310
646000.000000,0.438936
647000.000000,0.448837
648000.000000,0.446322
649000.000000,0.449736
650000.000000,0.458969
651000.000000,0.443181
652000.000000,0.439631
653000.000000,0.438609
654000.000000,0.435614
655000.000000,0.450073
656000.000000,0.458594
657000.000000,0.446272
658000.000000,0.453757
659000.000000,0.445831
660000.000000,0.442644
661000.000000,0.445421
662000.000000,0.453839
663000.000000,0.430385
664000.000000,0.443640
665000.000000,0.441554
666000.000000,0.445236
667000.000000,0.457742
668000.000000,0.458993
669000.000000,0.444436
670000.000000,0.456352
671000.000000,0.457442
672000.000000,0.457320
673000.000000,0.447531
674000.000000,0.438664
675000.000000,0.445588
676000.000000,0.445249
677000.000000,0.452973
678000.000000,0.429215
679000.000000,0.461051
680000.000000,0.440728
681000.000000,0.437264
682000.000000,0.440104
683000.000000,0.444589
684000.000000,0.454777
685000.000000,0.447779
686000.000000,0.460467
687000.000000,0.439430
688000.000000,0.445363
689000.000000,0.457694
690000.000000,0.435335
691000.000000,0.438106
692000.000000,0.447343
693000.000000,0.441077
694000.000000,0.454359
695000.000000,0.463044
696000.000000,0.450197
697000.000000,0.445588
698000.000000,0.432174
699000.000000,0.443583
700000.000000,0.452500
701000.000000,0.453550
702000.000000,0.428225
703000.000000,0.447885
704000.000000,0.440052
705000.000000,0.432457
706000.000000,0.442569
707000.000000,0.453192
708000.000000,0.448017
709000.000000,0.455093
710000.000000,0.446332
711000.000000,0.431234
712000.000000,0.440226
713000.000000,0.449079
714000.000000,0.440324
715000.000000,0.456335
716000.000000,0.441070
717000.000000,0.437908
718000.000000,0.445997
719000.000000,0.440176
720000.000000,0.445462
721000.000000,0.462626
722000.000000,0.451161
723000.000000,0.450280
724000.000000,0.448615
725000.000000,0.434969
726000.000000,0.443647
727000.000000,0.432132
728000.000000,0.440017
729000.000000,0.451640
730000.000000,0.435037
731000.000000,0.442351
732000.000000,0.453578
733000.000000,0.447693
734000.000000,0.436840
735000.000000,0.430963
736000.000000,0.445731
737000.000000,0.446289
738000.000000,0.441345
739000.000000,0.443781
740000.000000,0.446689
741000.000000,0.441723
742000.000000,0.445148
743000.000000,0.454774
744000.000000,0.449531
745000.000000,0.455212
746000.000000,0.447831
747000.000000,0.439596
748000.000000,0.445267
749000.000000,0.448628
750000.000000,0.448547
751000.000000,0.436472
752000.000000,0.434137
753000.000000,0.457888
754000.000000,0.454653
755000.000000,0.441143
756000.000000,0.447229
757000.000000,0.451569
758000.000000,0.437783
759000.000000,0.457871
760000.000000,0.432498
761000.000000,0.444083
762000.000000,0.448574
763000.000000,0.435839
764000.000000,0.453083
765000.000000,0.442530
766000.000000,0.454926
767000.000000,0.445437
768000.000000,0.446851
769000.000000,0.438816
770000.000000,0.438419
771000.000000,0.447906
772000.000000,0.445454
773000.000000,0.455337
774000.000000,0.427590
775000.000000,0.460252
776000.000000,0.444895
777000.000000,0.443496
778000.000000,0.428047
779000.000000,0.442218
780000.000000,0.452413
781000.000000,0.439132
782000.000000,0.426410
783000.000000,0.451321
784000.000000,0.454486
785000.000000,0.446050
786000.000000,0.457720
787000.000000,0.446976
788000.000000,0.441651
789000.000000,0.449554
790000.000000,0.441815
791000.000000,0.438617
792000.000000,0.453296
793000.000000,0.442868
794000.000000,0.436405
795000.000000,0.437435
796000.000000,0.445455
797000.000000,0.457343
798000.000000,0.444842
799000.000000,0.433780
800000.000000,0.452528
801000.000000,0.455886
802000.000000,0.451217
803000.000000,0.464574
804000.000000,0.446344
805000.000000,0.442111
806000.000000,0.436544
807000.000000,0.438981
808000.000000,0.447919
809000.000000,0.445745
810000.000000,0.447138
811000.000000,0.438178
812000.000000,0.439692
